Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
BehaviorSpace results (NetLogo 6.3.0);;;;;;;;;;;;;;;;;;;;
TP.nlogo;;;;;;;;;;;;;;;;;;;;
experiment4H2;;;;;;;;;;;;;;;;;;;;
10/22/2023 22:08:27:424 +0100;;;;;;;;;;;;;;;;;;;;
min-pxcor;max-pxcor;min-pycor;max-pycor;;;;;;;;;;;;;;;;;
0;32;0;32;;;;;;;;;;;;;;;;;
[run number];energia_castanha;Numero_Hipopotamos;Numero_Catos;Modelo;descanso_duracao;energia_animais;Energia_perdida_combate;MostraEnergia;Numero_Oasis;Celula_Azul;energia_vermelho;Grande_Porte;Pequeno_Porte;Numero_Leoes;Numero_Hienas;[step];count hienas;tickhienas;count leoes;tickleoes
11;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;8;0
5;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;11;0
12;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;6;0
2;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;9;0
10;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;3;0
1;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;1;0
8;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;5;0
14;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;11;0
13;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;17;0
9;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;37;0;0;1000
15;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;14;0;0;1000
17;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;14;0
20;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;8;0
18;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;38;0
19;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;11;0
16;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;28;0
22;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;9;0
21;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;35;0
23;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;10;0
24;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;12;0
29;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;3;0
25;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;12;0;0;1000
27;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;9;0
26;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;16;0
31;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;15;0
28;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;16;0
30;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;26;0
33;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;6;0
32;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;30;0
36;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;6;0
34;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;13;0;0;1000
35;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;24;0
39;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;14;0
38;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;10;0
37;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;16;0
40;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;4;0
7;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;27;0
6;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;33;0
41;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;39;0
43;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;16;0
44;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;6;0
45;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;13;0
42;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;21;0;0;1000
48;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;17;0
46;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;24;0
47;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;27;0
3;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;8;0
4;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;22;0
52;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;8;0
56;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;2;0
57;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;1;0;4;0
53;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;36;0
54;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;6;0
51;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;45;0
49;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;10;0
55;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;15;0;0;1000
63;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;22;0
64;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;18;0
58;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;35;0
62;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;41;0
61;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;12;0
65;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;11;0
68;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;16;0
66;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;34;0
69;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;30;0
70;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;11;0
72;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;1;0;5;0
50;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;15;0;0;1000
67;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;9;0
73;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;9;0;1;0
71;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;28;0
74;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;13;0
75;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;5;0
76;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;8;0
77;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;13;0
79;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;11;0
78;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;24;0
59;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;19;0
87;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;9;0
60;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;1;0;6;0
86;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;1;0;3;0
88;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;6;0
82;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;7;0
83;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;1;0;5;0
84;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;16;0
85;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;32;0
91;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;11;0
89;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;18;0
81;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;13;0
93;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;12;0
80;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;23;0
97;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;7;0
94;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;19;0
95;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;29;0
96;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;15;0
98;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;8;0
92;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;3;0;1;0
90;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;17;0
100;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;10;0
99;25;3;15;Modelo_Base;5;100;0.5;true;3;3;25;5;10;120;100;1000;0;1000;24;0
;;;;;;;;;;;;;;;;;1,44;860;14,31;70
